"","lon","lat","entity"
"1",67.709953,33.93911,"Afghanistan"
"2",20.168331,41.153332,"Albania"
"3",1.659626,28.033886,"Algeria"
"4",-170.132217,-14.270972,"American Samoa"
"5",1.521801,42.506285,"Andorra"
"6",17.873887,-11.202692,"Angola"
"7",-63.068615,18.220554,"Anguilla"
"8",-61.796428,17.060816,"Antigua and Barbuda"
"9",-63.616672,-38.416097,"Argentina"
"10",45.038189,40.069099,"Armenia"
"11",-69.968338,12.52111,"Aruba"
"12",133.775136,-25.274398,"Australia"
"13",14.550072,47.516231,"Austria"
"14",47.576927,40.143105,"Azerbaijan"
"15",-77.39628,25.03428,"Bahamas"
"16",50.5577,26.0667,"Bahrain"
"17",90.356331,23.684994,"Bangladesh"
"18",-59.543198,13.193887,"Barbados"
"19",27.953389,53.709807,"Belarus"
"20",4.469936,50.503887,"Belgium"
"21",-88.49765,17.189877,"Belize"
"22",2.315834,9.30769,"Benin"
"23",-64.7505,32.3078,"Bermuda"
"24",90.433601,27.514162,"Bhutan"
"25",-63.588653,-16.290154,"Bolivia"
"26",-68.2385339,12.1783611,"Bonaire Sint Eustatius and Saba"
"27",17.679076,43.915886,"Bosnia and Herzegovina"
"28",24.684866,-22.328474,"Botswana"
"29",-51.92528,-14.235004,"Brazil"
"30",-64.639968,18.420695,"British Virgin Islands"
"31",114.727669,4.535277,"Brunei"
"32",25.48583,42.733883,"Bulgaria"
"33",-1.561593,12.238333,"Burkina Faso"
"34",29.918886,-3.373056,"Burundi"
"35",104.990963,12.565679,"Cambodia"
"36",12.354722,7.369722,"Cameroon"
"37",-106.346771,56.130366,"Canada"
"38",-23.0418,16.5388,"Cape Verde"
"39",-81.2546,19.3133,"Cayman Islands"
"40",20.939444,6.611111,"Central African Republic"
"41",18.732207,15.454166,"Chad"
"42",-71.542969,-35.675147,"Chile"
"43",104.195397,35.86166,"China"
"44",105.690449,-10.447525,"Christmas Island"
"45",-74.297333,4.570868,"Colombia"
