"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Population (People)","76094000","77584000","79163000","80632000","82166000","83822000","85450000","87008000","88710000","90490000","92407000","93863000","95335000","97225000","99111000","100546000","101961000","103268000","103208000","104514000","106461000","108538000","110049000","111947000","114109000","115829000","117397000","119035000","120509000","121767000","123076741","124039648","124840471","125578763","126373773","127250232","128053180","128824829","129824939","130879718","132122446","133402471","134859553","136739353","138397345","139928165","141388566","144126071","146631302","149188130","152271417","154877889","157552740","160184192","163025854","165931202","168903031","171984130","174881904","177829628","180671158","183691481","186537737","189241798","191888791","194302963","196560338","198712056","200706052","202676946","205052174","207660677","209896021","211908788","213853928","215973199","218035164","220239425","222584545","225055487","227224719","229465714","231664458","233791994","235824902","237923795","240132887","242288918","244498982","246819230","249622814","252980941","256514224","259918588","263125821","266278393","269394284","272646925","275854104","279040168","282162411","284968955","287625193","290107933","292805298","295516599","298379912","301231207","304093966","306771529","309327143","311583481","313877662","316059947","318386329","320738994","323071755","325122128","326838199","328329953","329484123"
"    Age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Under 5 years of age (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16451188","16892767","17227895","17546968","17694998","17841708","17962587","18052290","18195465","18508093","18856447","19208046","19528041","19729275","19776862","19626505","19408272","19232671","19144923","19135544","19178293","19298217","19429192","19592446","19785885","19917400","19938883","20125962","20271127","20244518","20188815","20123103","19976065","19849215","19872349","19918078","19921759","19890972","19762962","19576683",
"        5 to 14 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34838697","34360571","34102586","33921858","33788303","33692422","33572752","33807229","34255589","34713696","35289633","36037085","36676867","37367359","38025965","38645220","39295639","39854729","40335509","40819824","41101548","41152040","41133838","41036204","40865917","40601646","40577826","40555653","40636257","40843063","41011834","41045296","41136885","41218213","41180681","41081146","41055553","41077140","41056914","40994163",
"        15 to 24 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42496648","42203419","41643879","41020290","40460043","39991892","39556684","38889932","38150913","37390779","36921979","36504705","36434242","36463777","36531873","36674212","36796805","37307767","38006835","38676031","39411622","40213570","40854135","41388854","41948112","42446169","42843844","43145815","43391492","43576932","43682397","43817679","43955174","43989690","43926765","43749670","43473877","43136918","42872747","42687510",
"        25 to 34 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37428687","38900546","39417346","40207832","40961840","41696515","42371801","42840709","43130183","43236392","43215820","43224002","42996970","42652396","42329554","42052123","41809305","41344963","40756512","40178406","39804497","39471522","39349646","39243795","39266556","39258647","39395179","39713463","40207473","40723342","41210814","41794054","42290999","42834450","43448454","44038198","44732005","45263412","45610110","45940321",
"        35 to 44 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25805222","26394405","28030377","29267313","30502944","31691031","33009010","34226446","35180440","36414447","37783237","39329466","39976334","40911550","41818866","42710768","43551263","44228415","44748354","45076677","45168843","45051752","44640649","44154206","43800275","43505538","43243801","42796230","42192486","41487811","40980472","40633299","40510928","40444961","40401376","40437602","40459218","40756584","41213474","41659144",
"        45 to 54 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22742771","22579485","22425286","22355442","22385372","22459257","22658896","23095853","23949210","24633174","25206778","25820152","27547718","28863949","30152761","31480239","32799965","34177508","35231857","36577819","37998974","39386268","39992194","40819954","41629930","42495904","43286159","43939939","44460447","44867088","44986392","44725716","44256152","43749928","43330932","43015531","42707029","42232340","41577706","40874902",
"        55 to 64 years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21754058","21913749","22029823","22111766","22154045","22135001","21993783","21750615","21513632","21240949","21101641","21045861","20998058","21028471","21159137","21320022","21589986","22099311","23010955","23778026","24429066","25105295","26703332","28008945","29305304","30641497","31930113","33128434","34157063","35405600","36782718","38067712","38574424","39277803","39983435","40744168","41389799","41874769","42224249","42448537",
"        65+ years (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25707448","26220666","26787304","27360434","27877238","28415906","29007328","29625949","30123404","30681589","31247279","31811624","32355994","32901811","33330803","33769304","34143049","34401561","34619159","34797841","35069568","35290291","35522207","35863529","36203319","36649798","37164107","37825711","38777621","39623175","40478224","41350015","43130363","44629455","46157016","47650770","49202071","50753404","52369339","54058263",
